Status 	WindowsMs 		ProgGlob 	ProgLow 	ProgHi  	Sec     	Ms      	MsDiff  	X_Pos_J1	Y_Pos_J2	Z_Pos_J3	C_RotPos_J4	A_TiltPos_J5	LaseOn	PowerFeedback
L		1631612263339	00030984	00006284	00000000	00000040	00000657	00000004	-65.678000	-155.890000	-83.900000	359.999000	0.001000	False	397,02
L		1631612263339	00030986	00006286	00000000	00000040	00000661	00000004	-65.619000	-155.890000	-83.900000	359.999000	0.001000	False	2039,13
L		1631612263339	00030988	00006288	00000000	00000040	00000665	00000004	-65.561000	-155.890000	-83.900000	359.999000	0.001000	False	2918,24
L		1631612263355	00030990	00006290	00000000	00000040	00000669	00000004	-65.502000	-155.890000	-83.900000	359.999000	0.001000	False	2902,88
L		1631612263355	00030993	00006293	00000000	00000040	00000675	00000006	-65.413000	-155.890000	-83.900000	359.999000	0.001000	False	565,86
L		1631612263355	00030995	00006295	00000000	00000040	00000679	00000004	-65.352000	-155.890000	-83.900000	359.999000	0.001000	False	667,74
L		1631612263370	00030998	00006298	00000000	00000040	00000685	00000006	-65.263000	-155.890000	-83.900000	359.999000	0.001000	True	2206,01
L		1631612263370	00031001	00006301	00000000	00000040	00000691	00000006	-65.171000	-155.890000	-83.900000	359.999000	0.001000	False	291,66
L		1631612263370	00031004	00006304	00000000	00000040	00000697	00000006	-65.078000	-155.890000	-83.900000	359.999000	0.001000	True	2333,38
L		1631612263386	00031006	00006306	00000000	00000040	00000701	00000004	-65.015000	-155.890000	-83.900000	359.999000	0.001000	True	1216,64
L		1631612263386	00031008	00006308	00000000	00000040	00000705	00000004	-64.953000	-155.890000	-83.900000	359.999000	0.001000	True	1509,72
L		1631612263386	00031010	00006310	00000000	00000040	00000709	00000004	-64.892000	-155.890000	-83.900000	359.999000	0.001000	True	2167,83
L		1631612263386	00031012	00006312	00000000	00000040	00000713	00000004	-64.833000	-155.890000	-83.900000	359.999000	0.001000	True	1260,41
L		1631612263402	00031014	00006314	00000000	00000040	00000717	00000004	-64.774000	-155.890000	-83.900000	359.999000	0.001000	False	652,05
L		1631612263402	00031016	00006316	00000000	00000040	00000721	00000004	-64.715000	-155.890000	-83.900000	359.999000	0.001000	True	667,81
L		1631612263402	00031018	00006318	00000000	00000040	00000725	00000004	-64.656000	-155.890000	-83.900000	359.999000	0.001000	False	854,26
L		1631612263402	00031020	00006320	00000000	00000040	00000729	00000004	-64.596000	-155.890000	-83.900000	359.999000	0.001000	False	1569,16
L		1631612263417	00031022	00006322	00000000	00000040	00000733	00000004	-64.538000	-155.890000	-83.900000	359.999000	0.001000	False	86,65
L		1631612263417	00031024	00006324	00000000	00000040	00000737	00000004	-64.479000	-155.890000	-83.900000	359.999000	0.001000	False	771,66
L		1631612263417	00031026	00006326	00000000	00000040	00000741	00000004	-64.419000	-155.890000	-83.900000	359.999000	0.001000	True	563,45
